City,Gym_URL,Address
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macfit-fulya,Fulya Mah. Yeşilçimen Sok. Polat Towerside No:12/429 Şişli/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macone-kanyon,Kanyon AVM Büyükdere Cad. No:185 1. Levent 34394 Levent/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macstudio-kanyon,"Kanyon AVM Büyükdere Cad. No:185
34394 Şişli/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macfit-nisantasi-lotus,"Halaskargazi Cd. No: 38-66,
34371 Şişli/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macfit-ozdilek-park,ÖzdilekPark AVM Büyükdere Cad. No:181 Levent/Şişli/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macfit-torun-center,"Fulya Mah., Akıncı Bayırı Sok. No:14, 34394 Şişli/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macfit-trump-towers,"Trump Towers AVM Mecidiyeköy Yolu Cad. No:12, 34381 Şişli/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sultanbeyli/macfit-atlaspark,"Atlaspark AVM Abdurrahmangazi Mah. Fatih Blv., No:67 Sultanbeyli/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sultangazi/macfit-vega,"Yunus Emre Mah., Lütfi Aykaç Blv. No:81 Sultangazi/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/tuzla/macfit-tuzla-port,"Postane, Cumhuriyet Cd. No:5, 34940 Tuzla/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/umraniye/macfit-akyaka-park,"İnkılap Mah., Küçüksu Cad., 34370 Ümraniye/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/umraniye/macfit-buyaka,Buyaka AVM FSM Mah. Balkan Cad. No:56 Ümraniye / İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/umraniye/macfit-metrogarden,Necip Fazıl Mah. Mabeyn Cad. No:3A Ümraniye/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/umraniye/macfit-umraniye-avrupa-konutlari,Yamanevler Mh. Alemdağ Caddesi No: 171 Ümraniye/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/uskudar/macfit-altunizade,Altunizade Mah. Mahir İz Cad. No:9/1B Üsküdar/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/uskudar/macfit-cengelkoy-park,"Mehmet Akif Ersoy Mah., Bosna Blv. No:99, 34682 Üsküdar/Istanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/uskudar/macone-emaar-square,"Ünalan Mah., Libadiye Cad. No: 82F, 34700 Üsküdar/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/uskudar/macfit-nevcarsi-uskudar,"Mimar Sinan Mah., Çavuşdere Cad. No:35, 34672 Üsküdar/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/zeytinburnu/macone-fisekhane,Kennedy Cad. No:52 Zeytinburnu/İstanbul
